Transaction_ID,Customer_ID,Item_ID,Location_ID,Payment_Method_ID,Shipping_Type_ID,Purchase_Amount_USD,Review_Rating,Discount_Applied,Promo_Code_Used,Subscription_Status,Previous_Purchases,Frequency_of_Purchases,Season
32,3287,908,27,1,1,67,5.0,No,No,No,4,Fortnightly,Winter
33,2034,1304,27,1,1,55,3.6,No,No,No,33,Annually,Summer
34,2038,1308,27,1,1,87,4.3,No,No,No,7,Bi-Weekly,Summer
35,3130,268,34,1,1,20,4.7,No,No,No,40,Every 3 Months,Summer
36,1010,26,8,1,1,30,3.1,Yes,Yes,Yes,11,Annually,Summer
37,1491,105,8,1,1,52,4.9,Yes,Yes,No,15,Bi-Weekly,Spring
38,2619,1142,8,1,1,77,4.1,No,No,No,12,Monthly,Fall
39,9,9,9,1,1,97,2.6,Yes,Yes,Yes,8,Annually,Summer
40,3814,786,43,1,1,89,4.1,No,No,No,31,Bi-Weekly,Summer
41,1036,819,43,1,1,89,2.8,Yes,Yes,Yes,32,Annually,Fall
42,2271,1083,43,1,1,72,3.5,No,No,No,7,Weekly,Spring
43,1432,792,46,1,1,88,2.9,Yes,Yes,No,29,Quarterly,Fall
44,2490,1473,46,1,1,34,3.9,No,No,No,50,Quarterly,Winter
45,153,145,37,1,1,85,4.3,Yes,Yes,Yes,42,Annually,Summer
46,2661,230,37,1,1,85,4.9,No,No,No,44,Annually,Spring
47,377,340,37,1,1,51,4.9,Yes,Yes,Yes,2,Bi-Weekly,Fall
48,3432,1308,36,1,1,49,4.2,No,No,No,20,Annually,Summer
49,717,233,10,1,1,29,3.6,Yes,Yes,Yes,9,Bi-Weekly,Spring
50,1751,243,10,1,1,85,3.1,No,No,No,38,Every 3 Months,Fall
51,2928,438,10,1,1,24,2.7,No,No,No,15,Bi-Weekly,Summer
52,845,471,10,1,1,48,4.4,Yes,Yes,Yes,44,Bi-Weekly,Winter
53,1393,399,11,1,1,46,4.2,Yes,Yes,No,34,Every 3 Months,Spring
54,13,13,13,1,1,72,4.5,Yes,Yes,Yes,37,Fortnightly,Winter
55,2439,38,13,1,1,20,3.4,No,No,No,30,Weekly,Winter
56,97,94,13,1,1,73,3.6,Yes,Yes,Yes,43,Every 3 Months,Spring
57,1748,276,14,1,1,23,2.9,No,No,No,41,Quarterly,Winter
58,1130,870,14,1,1,65,4.7,Yes,Yes,No,46,Fortnightly,Winter
59,3077,1653,14,1,1,46,3.6,No,No,No,13,Bi-Weekly,Summer
60,247,236,23,1,1,86,3.2,Yes,Yes,Yes,20,Bi-Weekly,Spring
61,3211,1678,23,1,1,67,2.9,No,No,No,43,Bi-Weekly,Summer
62,680,287,50,1,1,95,3.4,Yes,Yes,Yes,37,Fortnightly,Fall
63,3204,15,33,1,1,29,4.1,No,No,No,14,Annually,Spring
64,341,313,33,1,1,47,3.5,Yes,Yes,Yes,39,Every 3 Months,Summer
65,3537,205,47,1,1,21,4.5,No,No,No,10,Monthly,Spring
66,3258,385,47,1,1,98,3.3,No,No,No,39,Every 3 Months,Fall
67,2580,1258,47,1,1,20,3.7,No,No,No,40,Weekly,Summer
68,2230,1381,47,1,1,97,3.9,No,No,No,50,Monthly,Fall
69,3607,1522,47,1,1,90,4.8,No,No,No,41,Annually,Fall
70,3899,1823,47,1,1,77,3.8,No,No,No,24,Weekly,Summer
71,2827,1142,21,1,1,43,3.6,No,No,No,23,Annually,Fall
72,949,760,16,1,1,90,4.9,Yes,Yes,Yes,11,Every 3 Months,Summer
73,2450,1458,16,1,1,56,4.1,No,No,No,31,Fortnightly,Fall
74,3627,1592,17,1,1,98,3.5,No,No,No,32,Quarterly,Fall
75,175,167,35,1,1,35,3.5,Yes,Yes,Yes,37,Annually,Winter
76,2342,202,40,1,1,31,4.5,No,No,No,22,Every 3 Months,Summer
77,804,673,40,1,1,38,2.8,Yes,Yes,Yes,30,Every 3 Months,Winter
78,646,555,20,1,1,42,4.2,Yes,Yes,Yes,15,Bi-Weekly,Summer
79,3772,1506,20,1,1,86,2.6,No,No,No,28,Bi-Weekly,Winter
80,2798,1580,20,1,1,42,3.5,No,No,No,10,Every 3 Months,Winter
81,3347,1700,20,1,1,99,3.4,No,No,No,30,Quarterly,Summer
82,3457,639,22,1,1,53,4.6,No,No,No,21,Monthly,Fall
83,1736,687,22,1,1,34,3.6,No,No,No,31,Annually,Winter
84,3113,1018,22,1,1,97,3.8,No,No,No,26,Annually,Fall
85,1312,449,31,1,1,87,4.2,Yes,Yes,No,12,Annually,Fall
86,2231,1382,25,1,1,36,3.8,No,No,No,33,Fortnightly,Spring
87,1743,1179,24,1,1,80,4.3,No,No,No,18,Every 3 Months,Spring
88,1831,1219,24,1,1,80,4.8,No,No,No,7,Annually,Winter
89,162,154,26,1,1,49,3.0,Yes,Yes,Yes,29,Fortnightly,Fall
90,331,307,26,1,1,51,3.7,Yes,Yes,Yes,43,Bi-Weekly,Winter
91,374,337,26,1,1,27,4.6,Yes,Yes,Yes,11,Bi-Weekly,Summer
92,2329,1315,26,1,1,36,2.6,No,No,No,29,Bi-Weekly,Fall
93,550,487,29,1,1,29,3.6,Yes,Yes,Yes,37,Bi-Weekly,Fall
94,3652,820,29,1,1,32,3.8,No,No,No,5,Every 3 Months,Spring
95,2997,1494,41,1,1,91,2.9,No,No,No,6,Every 3 Months,Spring
96,203,194,44,1,1,38,2.7,Yes,Yes,Yes,33,Annually,Spring
97,894,547,44,1,1,51,4.7,Yes,Yes,Yes,14,Monthly,Spring
98,462,410,32,1,1,93,3.9,Yes,Yes,Yes,20,Weekly,Winter
99,1248,934,42,1,1,99,3.5,Yes,Yes,No,18,Bi-Weekly,Spring
100,1458,1036,39,1,1,57,4.7,Yes,Yes,No,47,Fortnightly,Spring
101,3440,141,38,1,1,93,4.5,No,No,No,25,Quarterly,Summer
102,3841,218,38,1,1,42,3.7,No,No,No,5,Fortnightly,Spring
103,3543,942,38,1,1,28,4.2,No,No,No,5,Weekly,Spring
104,1384,354,49,1,1,58,3.3,Yes,Yes,No,4,Monthly,Spring
105,1135,873,49,1,1,81,4.6,Yes,Yes,No,2,Every 3 Months,Summer
106,2654,970,49,1,1,36,4.8,No,No,No,24,Every 3 Months,Fall
107,1914,229,1,2,1,48,3.6,No,No,No,29,Annually,Winter
108,967,775,1,2,1,55,4.9,Yes,Yes,Yes,19,Annually,Spring
109,998,792,1,2,1,30,3.6,Yes,Yes,Yes,31,Fortnightly,Spring
110,2888,1598,1,2,1,28,2.8,No,No,No,12,Bi-Weekly,Winter
111,185,177,12,2,1,33,3.0,Yes,Yes,Yes,40,Fortnightly,Spring
112,2465,202,12,2,1,84,2.8,No,No,No,4,Bi-Weekly,Winter
113,2986,1626,12,2,1,36,3.0,No,No,No,21,Bi-Weekly,Summer
114,2,2,2,2,1,64,3.1,Yes,Yes,Yes,2,Fortnightly,Winter
115,1956,181,2,2,1,56,4.9,No,No,No,37,Monthly,Winter
116,3265,252,2,2,1,50,4.0,No,No,No,39,Bi-Weekly,Winter
117,1849,322,2,2,1,73,2.7,No,No,No,34,Every 3 Months,Winter
118,506,450,2,2,1,63,4.3,Yes,Yes,Yes,9,Bi-Weekly,Spring
119,3492,786,2,2,1,28,4.3,No,No,No,15,Monthly,Winter
120,2004,1292,2,2,1,72,3.1,No,No,No,32,Quarterly,Spring
121,1326,974,5,2,1,73,3.5,Yes,Yes,No,1,Monthly,Summer
122,339,26,3,2,1,79,3.5,Yes,Yes,Yes,16,Weekly,Winter
123,927,744,3,2,1,63,4.4,Yes,Yes,Yes,11,Bi-Weekly,Spring
124,833,206,19,2,1,80,2.5,Yes,Yes,Yes,28,Bi-Weekly,Fall
125,2348,758,19,2,1,64,4.2,No,No,No,46,Every 3 Months,Fall
126,1125,266,45,2,1,20,4.9,Yes,Yes,No,40,Quarterly,Spring
127,672,574,45,2,1,30,4.7,Yes,Yes,Yes,45,Weekly,Winter
128,1368,993,45,2,1,63,3.8,Yes,Yes,No,25,Quarterly,Fall
129,1476,580,4,2,1,61,4.0,Yes,Yes,No,24,Monthly,Spring
130,2456,1462,30,2,1,98,3.4,No,No,No,25,Every 3 Months,Spring
131,120,117,6,2,1,76,4.3,Yes,Yes,Yes,44,Annually,Fall
132,2914,1345,6,2,1,83,3.5,No,No,No,12,Every 3 Months,Winter
133,1171,482,27,2,1,62,3.2,Yes,Yes,No,33,Bi-Weekly,Spring
134,1976,512,27,2,1,77,2.9,No,No,No,4,Quarterly,Fall
135,838,694,27,2,1,28,4.9,Yes,Yes,Yes,33,Every 3 Months,Spring
136,1825,1216,27,2,1,47,3.8,No,No,No,31,Monthly,Winter
137,275,262,34,2,1,32,3.0,Yes,Yes,Yes,28,Bi-Weekly,Spring
138,407,363,34,2,1,55,4.6,Yes,Yes,Yes,13,Monthly,Spring
139,529,468,34,2,1,88,3.2,Yes,Yes,Yes,40,Annually,Winter
140,3458,1246,34,2,1,87,3.0,No,No,No,29,Fortnightly,Summer
141,21,21,8,2,1,51,2.8,Yes,Yes,Yes,50,Every 3 Months,Winter
142,169,161,8,2,1,80,3.0,Yes,Yes,Yes,5,Fortnightly,Summer
143,1257,942,9,2,1,48,3.6,Yes,Yes,No,4,Fortnightly,Winter
144,2611,1520,9,2,1,93,3.1,No,No,No,25,Quarterly,Spring
145,2617,1522,43,2,1,55,3.6,No,No,No,46,Annually,Spring
146,3515,1614,43,2,1,50,4.7,No,No,No,32,Monthly,Winter
147,101,98,46,2,1,98,2.7,Yes,Yes,Yes,31,Fortnightly,Fall
148,118,115,46,2,1,32,4.6,Yes,Yes,Yes,29,Fortnightly,Summer
149,1174,262,46,2,1,76,2.5,Yes,Yes,No,42,Bi-Weekly,Winter
150,1297,381,46,2,1,29,2.8,Yes,Yes,No,16,Bi-Weekly,Spring
151,2467,1241,46,2,1,84,3.7,No,No,No,37,Annually,Summer
152,3476,361,37,2,1,88,4.4,No,No,No,9,Quarterly,Spring
153,2969,617,37,2,1,48,4.9,No,No,No,25,Every 3 Months,Fall
154,2592,1513,36,2,1,61,3.3,No,No,No,40,Quarterly,Spring
155,3796,152,11,2,1,92,2.5,No,No,No,3,Weekly,Spring
156,1469,225,11,2,1,39,3.9,Yes,Yes,No,46,Fortnightly,Fall
157,1389,479,11,2,1,23,3.9,Yes,Yes,No,40,Quarterly,Spring
158,897,535,11,2,1,29,4.7,Yes,Yes,Yes,38,Fortnightly,Spring
159,1994,1288,11,2,1,96,5.0,No,No,No,17,Weekly,Spring
160,3820,1806,11,2,1,99,2.9,No,No,No,45,Quarterly,Spring
161,1365,560,13,2,1,75,4.7,Yes,Yes,No,5,Every 3 Months,Fall
162,3535,1744,13,2,1,83,3.2,No,No,No,7,Weekly,Fall
163,1829,67,14,2,1,80,3.9,No,No,No,45,Every 3 Months,Spring
164,733,621,14,2,1,57,2.8,Yes,Yes,Yes,28,Bi-Weekly,Spring
165,889,726,14,2,1,77,3.6,Yes,Yes,Yes,44,Annually,Spring
166,1481,1047,14,2,1,74,3.6,Yes,Yes,No,26,Quarterly,Fall
167,2235,1112,14,2,1,66,4.0,No,No,No,26,Weekly,Winter
168,1146,93,23,2,1,89,3.0,Yes,Yes,No,30,Every 3 Months,Summer
169,3133,1608,50,2,1,97,4.2,No,No,No,26,Quarterly,Summer
170,145,137,33,2,1,43,3.2,Yes,Yes,Yes,25,Monthly,Fall
171,471,418,47,2,1,63,4.6,Yes,Yes,Yes,6,Every 3 Months,Summer
172,1740,1095,47,2,1,98,4.2,No,No,No,23,Weekly,Winter
173,1122,865,21,2,1,58,3.2,Yes,Yes,No,25,Quarterly,Fall
174,2675,1543,21,2,1,41,3.3,No,No,No,15,Every 3 Months,Fall
175,259,247,16,2,1,74,2.8,Yes,Yes,Yes,16,Quarterly,Spring
176,409,365,16,2,1,66,3.4,Yes,Yes,Yes,36,Fortnightly,Spring
177,3238,781,35,2,1,57,2.8,No,No,No,4,Weekly,Summer
178,1445,1027,35,2,1,36,3.8,Yes,Yes,No,26,Quarterly,Fall
179,1988,1283,35,2,1,23,3.4,No,No,No,4,Quarterly,Summer
180,3230,73,40,2,1,67,2.7,No,No,No,24,Monthly,Fall
181,2632,1529,40,2,1,44,2.7,No,No,No,3,Weekly,Summer
182,1103,732,22,2,1,83,2.9,Yes,Yes,No,24,Fortnightly,Fall
183,70,69,31,2,1,70,4.4,Yes,Yes,Yes,5,Weekly,Summer
184,1880,906,31,2,1,33,3.5,No,No,No,46,Bi-Weekly,Spring
185,2377,1435,31,2,1,94,4.1,No,No,No,5,Weekly,Spring
186,1363,695,25,2,1,46,4.3,Yes,Yes,No,29,Weekly,Fall
187,3600,589,24,2,1,34,4.6,No,No,No,4,Weekly,Spring
188,3474,757,24,2,1,40,2.5,No,No,No,11,Weekly,Spring
189,307,290,26,2,1,49,3.6,Yes,Yes,Yes,4,Annually,Summer
190,1506,1060,26,2,1,20,3.0,Yes,Yes,No,39,Monthly,Summer
191,1799,1207,26,2,1,82,3.7,No,No,No,1,Weekly,Winter
192,2431,1449,26,2,1,100,4.3,No,No,No,42,Quarterly,Summer
193,3557,645,29,2,1,88,4.2,No,No,No,43,Bi-Weekly,Fall
194,926,652,29,2,1,88,4.9,Yes,Yes,Yes,8,Monthly,Winter
195,3309,618,41,2,1,70,2.6,No,No,No,29,Monthly,Fall
196,780,657,41,2,1,94,4.6,Yes,Yes,Yes,38,Annually,Spring
197,3778,690,41,2,1,65,4.3,No,No,No,9,Weekly,Fall
198,75,74,28,2,1,58,4.5,Yes,Yes,Yes,3,Monthly,Spring
199,945,758,28,2,1,97,4.8,Yes,Yes,Yes,39,Bi-Weekly,Spring
200,1229,926,28,2,1,55,3.9,Yes,Yes,No,1,Annually,Winter
201,2977,437,44,2,1,97,2.8,No,No,No,28,Fortnightly,Summer
202,3755,658,44,2,1,41,4.4,No,No,No,10,Every 3 Months,Summer
203,3041,883,44,2,1,32,4.1,No,No,No,10,Fortnightly,Fall
204,2071,1327,44,2,1,88,3.1,No,No,No,14,Monthly,Spring
205,3164,1671,44,2,1,66,2.8,No,No,No,36,Monthly,Summer
206,3270,222,32,2,1,60,4.9,No,No,No,25,Monthly,Winter
207,1817,1011,42,2,1,79,4.0,No,No,No,4,Weekly,Summer
208,1081,274,39,2,1,59,3.8,Yes,Yes,No,22,Every 3 Months,Fall
209,2364,1430,39,2,1,79,4.2,No,No,No,38,Bi-Weekly,Winter
210,61,61,38,2,1,37,4.0,Yes,Yes,Yes,17,Weekly,Summer
211,200,191,38,2,1,73,3.8,Yes,Yes,Yes,32,Weekly,Summer
212,1369,994,49,2,1,36,4.9,Yes,Yes,No,2,Weekly,Summer
213,832,110,48,2,1,63,4.3,Yes,Yes,Yes,47,Every 3 Months,Summer
214,978,782,48,2,1,20,4.6,Yes,Yes,Yes,34,Bi-Weekly,Spring
215,3060,2,1,3,1,71,3.2,No,No,No,42,Quarterly,Spring
216,1855,289,1,3,1,61,3.8,No,No,No,49,Annually,Spring
217,839,695,1,3,1,29,4.3,Yes,Yes,Yes,49,Annually,Spring
218,2793,1577,1,3,1,44,3.2,No,No,No,11,Weekly,Winter
219,1242,862,12,3,1,51,3.1,Yes,Yes,No,34,Weekly,Winter
220,2587,1512,2,3,1,28,4.6,No,No,No,1,Every 3 Months,Winter
221,3004,819,5,3,1,53,2.8,No,No,No,13,Every 3 Months,Fall
222,808,676,15,3,1,89,3.3,Yes,Yes,Yes,15,Weekly,Winter
223,3715,863,15,3,1,31,3.9,No,No,No,35,Weekly,Winter
224,1734,1174,15,3,1,85,3.4,No,No,No,22,Annually,Summer
225,3540,1746,15,3,1,56,3.2,No,No,No,17,Bi-Weekly,Spring
226,2963,1621,19,3,1,40,4.0,No,No,No,42,Every 3 Months,Fall
227,1188,111,45,3,1,89,3.0,Yes,Yes,No,37,Every 3 Months,Fall
228,439,393,45,3,1,23,4.3,Yes,Yes,Yes,12,Fortnightly,Winter
229,2627,1526,4,3,1,46,4.2,No,No,No,30,Every 3 Months,Fall
230,3171,1673,4,3,1,41,4.4,No,No,No,10,Fortnightly,Spring
231,664,147,30,3,1,83,4.7,Yes,Yes,Yes,23,Monthly,Fall
232,2191,755,30,3,1,75,4.6,No,No,No,33,Annually,Spring
233,831,690,6,3,1,76,4.2,Yes,Yes,Yes,5,Annually,Fall
234,1065,834,6,3,1,28,3.5,Yes,Yes,No,42,Every 3 Months,Spring
235,1447,1029,6,3,1,35,3.2,Yes,Yes,No,6,Quarterly,Summer
236,2582,1509,6,3,1,81,4.7,No,No,No,48,Monthly,Winter
237,3002,840,7,3,1,29,4.7,No,No,No,28,Quarterly,Summer
238,2780,1574,7,3,1,66,4.3,No,No,No,14,Fortnightly,Winter
239,2408,1443,27,3,1,38,3.0,No,No,No,11,Bi-Weekly,Summer
240,272,259,34,3,1,69,4.6,Yes,Yes,Yes,42,Fortnightly,Summer
241,2324,1416,34,3,1,93,4.7,No,No,No,36,Monthly,Winter
242,267,254,8,3,1,75,3.1,Yes,Yes,Yes,32,Weekly,Summer
243,3621,287,8,3,1,82,2.9,No,No,No,28,Fortnightly,Summer
244,2695,339,8,3,1,27,4.9,No,No,No,34,Every 3 Months,Spring
245,427,382,8,3,1,71,4.7,Yes,Yes,Yes,19,Quarterly,Winter
246,2790,116,18,3,1,85,5.0,No,No,No,28,Bi-Weekly,Fall
247,1712,275,18,3,1,93,4.7,No,No,No,19,Monthly,Spring
248,258,246,9,3,1,53,4.5,Yes,Yes,Yes,5,Quarterly,Summer
249,2216,911,9,3,1,96,2.7,No,No,No,28,Fortnightly,Winter
250,1512,14,43,3,1,91,3.6,Yes,Yes,No,48,Weekly,Winter
251,3123,1273,43,3,1,45,3.0,No,No,No,34,Fortnightly,Fall
252,257,245,46,3,1,30,4.7,Yes,Yes,Yes,20,Every 3 Months,Spring
253,2955,277,46,3,1,28,3.9,No,No,No,15,Annually,Winter
254,91,89,37,3,1,48,2.9,Yes,Yes,Yes,29,Monthly,Summer
255,1185,234,37,3,1,73,3.4,Yes,Yes,No,19,Annually,Fall
256,911,738,37,3,1,25,3.4,Yes,Yes,Yes,22,Monthly,Spring
257,2367,167,36,3,1,66,3.6,No,No,No,32,Fortnightly,Winter
258,802,461,36,3,1,29,4.9,Yes,Yes,Yes,12,Fortnightly,Fall
259,1013,801,36,3,1,37,3.8,Yes,Yes,Yes,27,Annually,Summer
260,1553,1083,36,3,1,49,3.0,Yes,Yes,No,20,Monthly,Spring
261,1559,1089,36,3,1,75,3.5,Yes,Yes,No,24,Every 3 Months,Fall
262,2007,1294,36,3,1,97,4.4,No,No,No,2,Annually,Fall
263,908,651,10,3,1,43,4.4,Yes,Yes,Yes,34,Bi-Weekly,Winter
264,168,160,11,3,1,27,4.0,Yes,Yes,Yes,14,Every 3 Months,Fall
265,3245,1681,11,3,1,81,4.7,No,No,No,42,Annually,Fall
266,613,432,14,3,1,43,4.6,Yes,Yes,Yes,33,Quarterly,Fall
267,1101,854,23,3,1,28,4.4,Yes,Yes,No,2,Weekly,Spring
268,1408,1008,23,3,1,61,4.5,Yes,Yes,No,11,Annually,Spring
269,2468,149,33,3,1,72,3.6,No,No,No,28,Annually,Spring
270,3259,161,33,3,1,51,4.3,No,No,No,11,Bi-Weekly,Spring
271,2167,1361,33,3,1,88,3.5,No,No,No,50,Bi-Weekly,Spring
272,2899,1601,33,3,1,33,4.6,No,No,No,29,Annually,Summer
273,359,213,47,3,1,25,3.6,Yes,Yes,Yes,36,Every 3 Months,Summer
274,1709,143,21,3,1,58,3.2,No,No,No,1,Quarterly,Spring
275,554,243,21,3,1,59,3.2,Yes,Yes,Yes,15,Quarterly,Winter
276,977,781,21,3,1,90,3.6,Yes,Yes,Yes,50,Every 3 Months,Fall
277,2234,1063,21,3,1,31,4.5,No,No,No,48,Monthly,Summer
278,3664,1252,21,3,1,59,4.4,No,No,No,49,Weekly,Summer
279,3266,243,16,3,1,100,3.2,No,No,No,28,Fortnightly,Winter
280,570,414,16,3,1,33,4.4,Yes,Yes,Yes,46,Every 3 Months,Fall
281,544,482,16,3,1,98,4.3,Yes,Yes,Yes,11,Monthly,Spring
282,2127,872,16,3,1,38,4.1,No,No,No,28,Monthly,Winter
283,648,557,17,3,1,70,3.7,Yes,Yes,Yes,23,Fortnightly,Summer
284,1392,1004,17,3,1,29,3.6,Yes,Yes,No,38,Annually,Winter
285,1801,1208,17,3,1,58,2.7,No,No,No,30,Weekly,Winter
286,3142,1666,17,3,1,30,4.9,No,No,No,47,Bi-Weekly,Winter
287,240,230,35,3,1,51,2.9,Yes,Yes,Yes,47,Bi-Weekly,Summer
288,314,294,35,3,1,77,3.7,Yes,Yes,Yes,50,Every 3 Months,Spring
289,771,650,35,3,1,54,3.3,Yes,Yes,Yes,8,Annually,Spring
290,2600,1047,35,3,1,99,3.4,No,No,No,48,Monthly,Winter
291,1319,690,40,3,1,93,2.7,Yes,Yes,No,19,Bi-Weekly,Spring
292,3376,1704,40,3,1,98,4.9,No,No,No,8,Annually,Fall
293,24,24,20,3,1,88,4.4,Yes,Yes,Yes,40,Weekly,Winter
294,1018,805,20,3,1,53,2.5,Yes,Yes,Yes,14,Annually,Fall
295,2917,1040,20,3,1,66,2.7,No,No,No,13,Bi-Weekly,Winter
296,1649,1133,20,3,1,69,2.6,Yes,Yes,No,22,Monthly,Summer
297,1957,1273,20,3,1,37,4.9,No,No,No,20,Fortnightly,Winter
298,2658,294,22,3,1,81,2.7,No,No,No,7,Fortnightly,Summer
299,3484,751,22,3,1,37,3.9,No,No,No,21,Every 3 Months,Winter
300,2547,1496,22,3,1,21,3.0,No,No,No,4,Quarterly,Summer
301,1338,979,31,3,1,86,3.4,Yes,Yes,No,19,Bi-Weekly,Spring
302,3366,1182,31,3,1,58,3.9,No,No,No,45,Every 3 Months,Fall
303,2525,1487,24,3,1,59,3.7,No,No,No,23,Quarterly,Spring
304,3888,1657,24,3,1,34,2.7,No,No,No,1,Quarterly,Spring
305,3314,1692,24,3,1,30,3.9,No,No,No,45,Monthly,Fall
306,3561,1753,24,3,1,96,3.5,No,No,No,5,Annually,Fall
307,102,99,26,3,1,85,4.6,Yes,Yes,Yes,50,Bi-Weekly,Spring
308,2109,1340,26,3,1,46,4.2,No,No,No,4,Quarterly,Winter
309,3148,1669,26,3,1,99,4.3,No,No,No,21,Weekly,Winter
310,40,40,29,3,1,60,4.2,Yes,Yes,Yes,18,Monthly,Summer
311,1079,842,29,3,1,59,4.4,Yes,Yes,No,49,Fortnightly,Fall
312,1926,745,41,3,1,32,2.9,No,No,No,44,Fortnightly,Winter
313,3638,1572,41,3,1,66,3.6,No,No,No,32,Fortnightly,Winter
314,1967,1276,28,3,1,95,3.7,No,No,No,5,Fortnightly,Winter
315,1152,882,32,3,1,86,4.2,Yes,Yes,No,24,Weekly,Spring
316,82,80,42,3,1,96,2.6,Yes,Yes,Yes,36,Every 3 Months,Summer
317,2832,85,42,3,1,53,5.0,No,No,No,4,Weekly,Winter
318,276,263,42,3,1,85,4.0,Yes,Yes,Yes,13,Weekly,Winter
319,452,402,42,3,1,31,4.3,Yes,Yes,Yes,26,Fortnightly,Summer
320,3194,537,42,3,1,99,4.0,No,No,No,35,Fortnightly,Winter
321,3250,1191,42,3,1,83,3.4,No,No,No,32,Quarterly,Summer
322,2686,1545,42,3,1,25,2.7,No,No,No,49,Quarterly,Winter
323,690,302,39,3,1,91,4.7,Yes,Yes,Yes,35,Every 3 Months,Summer
324,1878,473,39,3,1,62,3.6,No,No,No,3,Annually,Fall
325,1072,733,39,3,1,81,2.6,Yes,Yes,No,46,Monthly,Summer
326,2166,215,38,3,1,55,4.2,No,No,No,42,Every 3 Months,Summer
327,1474,242,49,3,1,63,4.3,Yes,Yes,No,20,Every 3 Months,Fall
328,2190,1366,49,3,1,94,4.0,No,No,No,47,Bi-Weekly,Fall
329,1221,160,1,5,1,64,4.9,Yes,Yes,No,36,Quarterly,Winter
330,3449,1724,1,5,1,28,4.1,No,No,No,32,Fortnightly,Winter
331,233,223,12,5,1,27,4.2,Yes,Yes,Yes,32,Bi-Weekly,Winter
332,669,571,12,5,1,85,2.9,Yes,Yes,Yes,35,Monthly,Fall
333,885,722,12,5,1,91,4.1,Yes,Yes,Yes,34,Weekly,Winter
334,2027,42,2,5,1,35,3.6,No,No,No,45,Every 3 Months,Winter
335,2622,787,2,5,1,46,3.0,No,No,No,21,Annually,Winter
336,714,607,5,5,1,90,2.6,Yes,Yes,Yes,39,Bi-Weekly,Summer
337,935,750,5,5,1,47,3.7,Yes,Yes,Yes,21,Monthly,Spring
338,1547,1080,5,5,1,51,3.8,Yes,Yes,No,17,Annually,Summer
339,2453,601,15,5,1,67,4.1,No,No,No,45,Every 3 Months,Winter
340,2164,1360,15,5,1,60,4.5,No,No,No,44,Monthly,Spring
341,2346,1425,15,5,1,32,3.3,No,No,No,23,Every 3 Months,Winter
342,2601,1518,15,5,1,83,3.9,No,No,No,6,Bi-Weekly,Fall
343,3575,1759,15,5,1,70,4.9,No,No,No,39,Quarterly,Fall
344,1782,1196,45,5,1,33,3.7,No,No,No,49,Quarterly,Fall
